('38375e5428c052d172da731a4c854ead9ace7bea0036e3c2568a06a8cc68f8f2', (('0', '0.01'), ('1', 'b2add0cbd618593d503e50848e1cfc4bf32b80483f20070805d1dc8bf36010e5')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '5555037922ce3a640c6a1bbbd7ba8bf9da3e793c3268bc8dfaf5bdb4ce575af5')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('82', 'bbc7c427a3dd32ae420d144c0f185f3f7c967045c8de92aa898c9bcfa18fe628')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '7a6b9c09228b310fed6db61a308da8835b14f298698fe89b3ae7cf6621e7785b')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('57', '6e41937efb301b5278cc9457ad8e8917ba6609284e850ad48278ebbc294d68e7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('75', '6e41937efb301b5278cc9457ad8e8917ba6609284e850ad48278ebbc294d68e7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('186', '6e41937efb301b5278cc9457ad8e8917ba6609284e850ad48278ebbc294d68e7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('417', '6e41937efb301b5278cc9457ad8e8917ba6609284e850ad48278ebbc294d68e7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '569e7cb3f9ec9fc6e047108dbe8d0d7458b451d12e0f9f98293a296f642072af')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'dc7d1e32067a02037f2c12e00d1119e5a81da31c8749dc448e25a98cffde7a1c')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'f7b90a9899201e208d94d8cc5fe9c02102d57e2f95c89f1fff6b51b16b88d307')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '4f48b27bd8bbcb272553251feec5d86cb1da425d7509102a88181d95362e5018')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '72ea85810454f9ef5e97c0bb99633072e4398b61a2d7d54877cbd016bd6d6758')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '34a0b915d64c7b3735ce10dfb0a9500cc6cf204fe7122828fdcb4806be544db3')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '2fb6810017b8f6f97adf75aec1d83f48d48dce32c61b6c792f73651822111ec3')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '4656e64214b5795a00983cea6b1c9ada6cdb5429ba9bb52c54e3691ad2260ab7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('9', '5ba1b8a756ebaf49e62c3259fc9b9bfdc18b410cfe9bb2b3888c5ee24dbe4c23')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('13', '5ea8358e1359b309c9ea642cede1422ebef2cefe339259aa5f7bd80442e56430')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('7', '3a2ee9a37daee8e6eb22efc6a901582fa06ddb3deab8239159fbe066bb2a9e3c')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '97668ce39b818051933a275cd222be3e934d7c6849e0e4be5285460e6b36295f')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '6c7e3a2499c18e6c3181c19ca7f08ab68814d13b510118f6778aeb0bdff162f6')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'b065c264b8abe35809d1591365cc6ba9bd171816e7913456b723be2d162e0371')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('213', 'f9ee53e5751b5776e21bc5c19222f07e1e0acd0f32f96a678a21b40086912561')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'bb022d324c8c5b11410c568d23dfd3ca6e59da17cea8358946184c08258d21fc')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('12', 'ce00ddd38cd55080d5df7a2ecd79ad565e68eddbcb43c7a062bc453eae9652ed')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'fc8bd3c902fa0b25a77a5cdf61997fb46d06522fefcd6a13203f0bc2774ce882')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('62', 'd3ce29a8812eef4a26c737585c02e9416abff72eef76a841cc10cf412fd89a2c')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('83', 'd3ce29a8812eef4a26c737585c02e9416abff72eef76a841cc10cf412fd89a2c')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'f6293668b3f9af9e544aa9d47d34b7f57bcd632755be1016c46ed3a8abbc28f4')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'cc4261bddd9616715bf324fed387d16b3d658587b65ab300b2d192ea736c7734')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '7ee69576941c3854ff07ac6949a1f1d57095dbdfbd7dd84f269578056f7f48e2')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '6e64079d15aababc567319716620b8f87d50655210ee6ef54e6f2463f1dc5f7a')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'cbbe655d27218a0fc232648c7d6c4ef2ce2798271f4eba3ad7e64789f90d3701')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('3', '2fae833d27d5962a2694b49675e123fa3ca2a20ca1b1136509727c6510c7cb7e')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('2', '4238c321a0e6917297a837453a5f9d93a2ed9e5cbe254f02dedb38e58255434f')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('14', '4238c321a0e6917297a837453a5f9d93a2ed9e5cbe254f02dedb38e58255434f')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '792aa9c951a7233a78b097837151554b07901ae6a27b4bb4e75e7ea01d06d543')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '2f4ebdbf18607bcc7a077304dfa106b954fd4b400e5618fb8a53227f5748be12')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'b53d2303601e4719949fc6e62b6de9aa549bca253927d3215b09457d2605a1f1')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '8182c016aabc93496090e4a9372e5b2f0f4d2600a3c355c6ddcc6f6f5cd36a63')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '4a18d05440b971ea4ac7159db7faa9507b8d279d4d2c82fc4a114829e8626954')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '670da880330485952a47bb58aeab5bc9132f8ceb1f50089971c496342f3f113b')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '9a58f402424430e4d6bf46ff4b26e40a245b330e73e3c81319b461e056a9d13e')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '3d534d039bf9b8a6eb7a443229be32db1ae0da5d9eb62143831a584b760537cd')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '550d045f4205973e4b8993645d023b6f122b17255f8f0be55fb5afc2f610cfef')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'dd8546c35c654405b0611a44379bd59782428f359b6449726f58675e804e0ab7')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'b1b6c674c313ac786f4ba64116f22499994d0651ee81396d3c0b00a775ef1a8d')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '18827405852333980dbbf4faafc28bc99870892297bc820b1dc299d1ccef6eab')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('39', 'f697f44a47408affc2ff060d647146e6714f9679c906c1963afbeb7a9f0ab749')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('139', '485f881a06b7045d175951922a120b12aed28274ea520a0f9f1f243c7b253239')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '36bbc971a10a5319d45f36a7e29b55cb4f6c577e4dc921ec08159d6e23ce695d')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '1b3c5ae747869734c3dc0830a74305e768115e305e30c63f71f65bb387b405eb')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('63', '74a599a149fdb41793adb836da84fc784ad73fc9bd7418357c9901cb7c1fb0e6')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('2', '578bc65624e12279ae71a4fec23cdcc0949308caf64a85136b14c98877c14877')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '9beb5d67ea043c7269207685662f5f8329eae969ffabc1c1392df870b2cd7dc3')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'f99c6eebba2bb328b7e7d6b78c58dc03f020f9a66646fd0c171850580d72c7e9')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'ee61d47498f82c835d3ee0524d84ec517e958cf2b390bc747f093809c095f028')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'd7c210ba264cc98e79aa145e2153e5d6595bac679b82e33ffbaaf8f5edf417d2')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'de8cc073570b83d92096c9f8b8a3925ae564f2a6c5a1b965448bf5650f81dcc2')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', 'eb58cb5348c3e0340bad7551cd4c0ca38501acdececd6596c5bbd1d8c45bd1b4')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('6', 'c8893a1ae18fb8c7c0afc609f9337aff57b90455edffb3b8ecfd4c056306978d')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '1c506dfd2b0e32773fcd53774c7288bbee0bac17d6281eb211b169ed9f4d9fac')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('0', '2bd2ea416a8749f88286c8112013af0465c2057467575266ae0a620d4a570a3b')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', '24a901f1ecab021da034862d96610d1dc9d01b07584963144e6f0bc6dcd2af01')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('1', 'f8977bd386b56479330f885217f7e3b2e7ccde15ff1496ff788e8da1babdfe25')))
('4a42d0bbb292c8d2d652c8287362553d05a35309f99a915bf597637dc6bee218', (('5', '0.00625'), ('8', '704cce05f454c6ff7f921745dc6f6047ea28ca5a16977b4734d1946280685a51')))
('8a11593e926a8b4a79e521fee37db5083d0ec1c906fadebf26caf6aacaf825f7', (('0', '0.0001'), ('0', 'd911e6548defb7dd41056aa6b5652a63eb41dfe71fe997155786f039ef1f6bd1')))
('0fc4eb511b1f337e8e261b01857946e79ab23e34f0af788733fbf2342d0e6af2', (('0', '0.001'), ('1', 'b23ae03eb50a16f007a456aa2197fb3426e3015974827cefca951fd41b4f262c')))
('39817166e8a1c76b12a890ad7cc833c8374ff422fed3dc5f05d6af187a1112f2', (('1', '10'), ('0', 'beca8007240e1838cb5a3a84b1e7f2b1ef2966a8cf656ba2ba9e22267cc718e2')))
('12b2a99948183726669e3739f3fde0b4029159e912d1da07a190a2528acae26e', (('0', '5'), ('1', 'c106b63b4ebab1e48c5a01668d7b4d5fc2b2cb78d60bb64eb6f92959a7c38808')))
('caa302ad77f33f2f82cce41dfd346dce0edc6806c71ffe2b932f3979db1551c3', (('1', '0.3'), ('1', '4836c8a060c8ccfbb2e28f1715af20259d941fd09a6cc156d96561cc14eb4dc1')))
('4661e2cd75067f0c439991c0edb8bf790809dd519bc6c5237adebb8f4d0f5324', (('1', '6'), ('1', 'cce4159fa5097a6f99bb4734d630468a0cebde3995611984f6c79bf649b2853f')))
('1fe34cdf26017b7938ac32e393888abfb7128aeb6a4c808f74396e19836f91ef', (('1', '0.14636017'), ('0', 'fd2029dc013acb4fc4a10e76cdea4e40fbe41aa5f9c8e8168d831d60155f3613')))
('1fe34cdf26017b7938ac32e393888abfb7128aeb6a4c808f74396e19836f91ef', (('1', '0.14636017'), ('0', '2ad8487fbde00c348c36ca3f585ed15168201072c9e89917ffe94ed1653eb01e')))
('1fe34cdf26017b7938ac32e393888abfb7128aeb6a4c808f74396e19836f91ef', (('1', '0.14636017'), ('69', '7976464971ff9139b913800a80d461afdbfdeab9027c3e94556bc6d8da849fef')))
('1fe34cdf26017b7938ac32e393888abfb7128aeb6a4c808f74396e19836f91ef', (('1', '0.14636017'), ('13', '1df2b8989313361de52132bd497919ad2ee0155334e2304d5b98b90c4ad9fd35')))
('1fe34cdf26017b7938ac32e393888abfb7128aeb6a4c808f74396e19836f91ef', (('1', '0.14636017'), ('17', '92316fbf6153d8c58645236684385cdc074660b4d2d51bea0f7f4c2223ce287e')))
('a2f5963f3560cd4b2b922a9e39677d52d696e0a87a1a3fe24d0f7e88d05960eb', (('0', '0.03116896'), ('1', '13696035179937407eccb0cf19d86287cb148f9508c17c145cd47759af73ed5e')))
('053cac15689e1989e20ed36e812614c023b01e72bc72f91b42a87c7c643de502', (('4', '0.0005'), ('2', '191837bd3412f735cbb03946602e649cae999f599b68cfe0f04b6cc93965c693')))
('585dc079aa1b5c1f4d7f9f49c8aafb7d6cbda99acde9ef4918329d9c36394bb7', (('0', '0.05583712'), ('1', 'b459fbd681a84a62d7d46324826d362f87d40be76144053f9806fc208de933b8')))
('585dc079aa1b5c1f4d7f9f49c8aafb7d6cbda99acde9ef4918329d9c36394bb7', (('0', '0.05583712'), ('2', 'fa2431acc3528099253f8b0fd20f078266020571ee408d79841be73ca7d1baee')))
('ad1ef9b88effaf993ef0047afa887875a7c9b5c10755f4d1b345a6e7ba041a45', (('0', '0.0682'), ('1', '8dcb2ad9503ebe48315250a63cbcbb4768334dff2755e9875bc43d445f5e8c79')))
('ad1ef9b88effaf993ef0047afa887875a7c9b5c10755f4d1b345a6e7ba041a45', (('0', '0.0682'), ('1', 'a67799581cfd0c2c0c664ef4a2c25b7afe228583f4bf66709ee2363bc09b2065')))
('a154ffa317b7e7fc164ed71eef95ac3367865be10156e6759b92094308d093d4', (('1', '2'), ('0', 'df94fa1d587cecc332cef76a502cd4ed7fa7ed6113d203c99880e6caf2235c76')))
('05bf17356465618d54aa1347f9ed4e6f84539d636e32bed56bfb5312e9fd3d16', (('1', '13.385'), ('1', 'b831da667ffbf92f4f8f4ed80029dec144e0a850ededa01fc5dfa564440c2365')))
('7e3082529c38ec51d13b1e7b41713d1d8964bda2cce6885a4a1afcdd7921c679', (('1', '0.16'), ('0', '4e44dfb2243a1760ddafaeeec649ec95177f150d0420149917502ac6283a207c')))
('a8115f4763b81526ccb26c96f6eedffba2a56f187cb4492ea3a2d406fd99328b', (('0', '0.999'), ('1', '6894a9a71ed2cf4692203e908bceead23f3fc2ed211efd5bd140b12d93cda649')))
('a8115f4763b81526ccb26c96f6eedffba2a56f187cb4492ea3a2d406fd99328b', (('0', '0.999'), ('0', '9d017b65cc8d3ed5068e9d351e4c99e8aec5fdf31e5b2893fc97334166438b60')))
('a8115f4763b81526ccb26c96f6eedffba2a56f187cb4492ea3a2d406fd99328b', (('0', '0.999'), ('13', 'd569d8e05ca273358db9c503d08b93cc65a263e35b99ffab17beccbef32ec4b8')))
('a8115f4763b81526ccb26c96f6eedffba2a56f187cb4492ea3a2d406fd99328b', (('0', '0.999'), ('1', '06692139e07af31852ea74357e609ecfb0b67e5e465de0770094537f308552f9')))
('a6e0c6a8a0b1a119b7b81a63f249dabd9b2be3ef363d1093826f1aacb0ab6dd8', (('0', '4.969'), ('1', 'ca657e5cb712ef3f95cd817957fa107549f91d24c5c3043182882c0782dc5f1a')))
('251db8196e7183fde7efc2cf2cfc58118582dbeaabdd6d3a12be24d70e0f2ad3', (('1', '1'), ('0', '016fd24fcc7299c760b487c0ff03aa9f94c5d00ed5587c61b9ee7e864df174e3')))
('f8480680ab8aaae8c0e4856ce0d2d85d1935bcec84ec22ee517ce4bac1df8aee', (('1', '0.00123'), ('0', 'cd1a182a977c1468fdc9f333257fb2f9d5a48cd0d78711cdd487f3321cab34cd')))
('f8480680ab8aaae8c0e4856ce0d2d85d1935bcec84ec22ee517ce4bac1df8aee', (('1', '0.00123'), ('1', 'cd1a182a977c1468fdc9f333257fb2f9d5a48cd0d78711cdd487f3321cab34cd')))
('f8480680ab8aaae8c0e4856ce0d2d85d1935bcec84ec22ee517ce4bac1df8aee', (('1', '0.00123'), ('1', 'f13b09db8f28af923588bdbe27f6c7f2a7d9006067539b26c0e7e956f2dcac82')))
('04933f1b4ee0af1a8274bc6f438cb4b26db4ea123f8ea40434cae51d2a7b8a18', (('1', '4'), ('1', '73db36cfae459a4ed7a866a35abbb6a0ac74d95cb62b138af5faf422e3a7e473')))
('04933f1b4ee0af1a8274bc6f438cb4b26db4ea123f8ea40434cae51d2a7b8a18', (('1', '4'), ('8', '3a2f9a1b2cbb8225b4e81be395ae3b196004668596ea2e8df7483ea5aeaad576')))
('04933f1b4ee0af1a8274bc6f438cb4b26db4ea123f8ea40434cae51d2a7b8a18', (('1', '4'), ('10', '6a53b434cdc2a13e4a60c910ed12b0062ffe0cee853a9a8b48c9a34cce409aa6')))
('04933f1b4ee0af1a8274bc6f438cb4b26db4ea123f8ea40434cae51d2a7b8a18', (('1', '4'), ('1', 'dd4434d4793a1725ecb129562afbecdba9ca75a94d9842caa722250597814684')))
('04933f1b4ee0af1a8274bc6f438cb4b26db4ea123f8ea40434cae51d2a7b8a18', (('1', '4'), ('1', '44862c73c710d97c026461b919c3cd5165ea224af3837481ba8837324078fadb')))
('f72144aa9597c8e40c238778a0a04fece6794e1e51518df768541360a35bda89', (('0', '0.07017372'), ('7', '07acfe03b98f231278c47ac0b7af56e796429226badb29baf154ed55d42a9dda')))
('7f061ea538a65f9a09e5bde8b9988ab96a58936b117696c1951890ecc9d32609', (('1', '0.01'), ('1', '12877690508a7522c33e936a302fb711f298ad19488210c328973f84fec3a9be')))
('7c8531f1e3b74b8d9d9bd76edb4f21e452b99d39c60a2911d5fd815dd446c7a4', (('3', '0.0001'), ('1', '99804d22fd7ad9b3ba122baa5c63dcdece7552e59a40ffc66082d01e15f9a87c')))
('1183456b8593a489ae974544f39b83f2e8260f0b71973dc31f55507fa477e1dd', (('1', '4.75'), ('1', '1bb208b1b1c3a78d36556079a145a04adfcc2db7a0862e257478e23325d9bfcf')))
('8f07f0943a583d2bcdb7ae54c896f6970328356e2f3fc9bf72cfe6155d2bba40', (('1', '1'), ('0', '1f8e283bbea4740af28989141bbcbf058f3336c6ed09727d3d0a8795724e8f43')))
('2a6f49401235ce1966a31bf58191928ba7a87ea8b151dd0d06009d3eacce2fd2', (('1', '0.3'), ('0', '23934a98eb25a31ef41d5ce2f92bca622b37471223387f811853b6a466e108c7')))
('4fa3ff49670f06af9f200f451b2b2cf7d89530e97e97bda9fc91504675f8570b', (('0', '0.099'), ('0', '150416d81b1a0eb5fc4efbfdb6e6f9521f30ae7a1f974567457febd550dd4fcb')))
('8d1115e1812122d88097597950559e9b2aafa6630f55b5d5b08b66175d77f727', (('1', '0.05'), ('1', '442f0228a320438b1417ccfc06a1f7cf281588bf9704fb99eb841c8eae520377')))
('9e09723b0bed8f3509686600445af9c58b0386952a8c90030dfd6c5696a72a04', (('1', '1'), ('0', '21ffec1ce50102b4f745a2b038ee297468a0b8e2ee8c1906eec9d6bebd4c4d36')))
('15f246727d9aef48e3dd6ebd11dbb175e03ea36edf2d2fe879fa4c53d7fd2703', (('1', '0.3'), ('0', '24f9280f92b675b2087ecff542fd9a010e74d8d9e980f63496121ad636cf13c0')))
('59503627af3969fa7437090713a500c9d506316fba603bce298cba00b043e197', (('1', '9'), ('0', 'd2597ef25b22e90b18eae5464e8b68552c3990386ada7ac05c0b1bf11c0ca46e')))
('c71b37550258091b54cc4b1c326123e4712e35fb3c44a5fbdd91f8fa58f4f8c9', (('1', '0.02'), ('0', '615d3d29ba517290cbfab8b986bccfe0e1eb369c6c43743f692abbb8a2b9b844')))
('838c3d543f222c5cfa1d5395c0c376e0e586ffab5850ff7767ed1a2c522db4f5', (('103', '1e-08'), ('104', '281b42ecff42b0a4a684cb28a86336a14eb7ba0bf263f12e35d5f23cd3fdd705')))
('309d7210aa3d40ed79e00369d2f4e16ec34f2168194c21bb532b818e3cf604b0', (('0', '0.001'), ('1', 'bdc44dcfd597404d98850fa77a5945e2a82dd9a528a2a1ce58fe4feb1fe1231d')))
('7db9e21114538aad98f0048af76e642b61a23c681f4ec3524b9072596f8680ce', (('1', '1e-05'), ('1', '0a4f49bb31b108f4d674cde6c0a33dc0c4ef61614dc33548dc5789fbb22fe65b')))
('0cea1c483030c4bbfe67bdae0e3e69979206a96944c3aaefd025b760ba05829e', (('0', '12'), ('1', '5cd6359557706f32968e9ed71de3037d714400cc07756b9e138e3e273a857768')))
('0cea1c483030c4bbfe67bdae0e3e69979206a96944c3aaefd025b760ba05829e', (('0', '12'), ('0', 'b7aaf05a8bb3c9670feb04410bb8212498996c9d151e71dcea116fea39e09a18')))
('d397f8250f0d1add4af89e0fd900c51b62daf79e150dcba90a1f485599ccd419', (('0', '0.004285'), ('0', '9c67bc2bbe46778ea4496ff97b4382a769aca67170d92d0bc919c095893af63f')))
('5446430f907fa0e579fe41128578f8bb58d21aaebb5a408243b1c1fd54dd494f', (('1', '1'), ('1', 'e882121aa637cffee4a8808a8afa5cc2cf342d0f37537bd07bb0bec9882463b7')))
('4592a8f92225c3ecc5276fef5b899fa612af872b426ee3bb5a13e200c1486ff4', (('0', '0.001261'), ('1', '15fd6ad32550920511b02a77f5532bfee0c625388cc42b0f8f8563102c5e44f0')))
('36eaed81f8cb60e302a5bca4152df07d24716be7a1147c3a3c12096c6e3d1133', (('1', '10'), ('0', 'd3a617d3fcca5ea9be663120a94695b61621063e82e0642fa1166ecc2397930c')))
('3d2a33bd6663a027f072a03be6eea60dc9ffe2c243c376ffdc61e53d3b85ea31', (('1', '0.03185839'), ('0', 'c6a691cfc057e908a327c6073ea1762ebee0fc7f02bde1ae69dab0e97e6773f1')))
('3d2a33bd6663a027f072a03be6eea60dc9ffe2c243c376ffdc61e53d3b85ea31', (('1', '0.03185839'), ('0', '1fafad9d1d4e48ec35b13f676b00a1e355bd621afa957ca3ee42b26751ac34fe')))
('3d2a33bd6663a027f072a03be6eea60dc9ffe2c243c376ffdc61e53d3b85ea31', (('1', '0.03185839'), ('0', 'b88aba02d1d4dadea1d7645a29ba97bfac314e870566bb8416c25f16b3470714')))
('752ae1acd06239804ff7bfb937c706baf65c6b8bbbe27cb75c37c4ca38aca7dc', (('1', '0.0001'), ('0', 'f556944b7e685e297f0340c3840443e144c8f1946d42d21408716fc352e30996')))
('73c096c9fc4db252febc480f24382025d32198814f17390bcbbae3f4a37c0653', (('1', '0.00354893'), ('0', '1de6362530b2b9e151818788c69c673e057a2371d16960c2bb6df588ec2ebece')))
('a668080f467b6a01519066cac9f002cb414a057bc4309a285cd0eced6f3c9986', (('1', '0.0003'), ('0', 'f7919ad7ef1cbfb1c9df7cfd0a6a8696ac3aceb64e80ffde69f4f80f68b8ab7f')))
('a668080f467b6a01519066cac9f002cb414a057bc4309a285cd0eced6f3c9986', (('1', '0.0003'), ('1', '7d69eef4f6620095085df5de88c1ba9c6b1c1c597ffd731ff4f252b2a6df619d')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'c4572b51494ce53613d988e8a77b83e81c2199a9982e6fdcb9e11b62a0047c8b')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'ff61b416859e2fa36769ac59f0ce5469a4cc204ff334b2e50ddb621b76ea5f41')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'c3a59505201e8fd77039c576aee596b0aa370c66316e350d99afdaf8eda3275b')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'e13442f09fb4c6fba38fa83087e0802298fd0f89dd2ac64f128d7c41deeb4d5c')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'ab527cdf33fb28f46df20313a13b4fb9989e31ddc9e982d01ddda7a5d5d2e848')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', '8de0aab2238e31fbc04a8423d5066a2d185579b64d1ffe8b591938b397b1049b')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', '8bfec37243bd0a278be1aff8ee8d392aec5718f90baf095ac7f38609714c4139')))
('725ea25c706cf58da9f6c70d990ed59eb12facaa3751a68703dde2ef5e058676', (('1', '2'), ('1', 'b9ba62e0dd60853ebd4ec2a00122e068b641529f6a8d3bf65d29baf83c090893')))
